,Area,What is your age?,What is your gender?,"space for walking/cycling, restricting parking/closing streets near schools",Space in city centre for walking and/or cycling,"New signed ‘quiet connections’ for day to day cycling, with road closures to reduce traffic.",Most often,2nd most often,3rd most often,Most often.1,2nd most often.1,3rd most often.1,how many cars or vans (own or company cars/vans) are available to members of your household?
53,East,45 – 54,Male,5.0,5.0,4.0,Walk,Cycle,None,Cycle,Walk,Bus,0.0
55,East,55 – 64,Female,5.0,5.0,3.0,Tram,Car,Walk,Walk,Cycle,Car,1.0
56,North,45 – 54,Male,3.0,4.0,3.0,Bus,Walk,None,Bus,Walk,None,0.0
57,East,45 – 54,Male,4.0,4.0,4.0,Walk,Car,Walk,Car,Tram,Other,1.0
59,North,45 – 54,Female,3.0,4.0,4.0,Walk,Bus,Car,Bus,Walk,Car,1.0
60,South,55 – 64,Male,5.0,5.0,5.0,Bus,Walk,Car,Bus,Car,Walk,1.0
61,South,16 – 24,Female,3.0,4.0,3.0,Walk,Bus,Cycle,Bus,Walk,Taxi/Private hire car,0.0
62,North,35 – 44,Female,5.0,5.0,5.0,Walk,Car,Bus,Walk,Car,Bus,1.0
63,South,45 – 54,Female,4.0,1.0,1.0,Walk,Car,Bus,Walk,Car,Bus,1.0
64,North,25 – 34,Male,3.0,4.0,1.0,Bus,Walk,Car,Bus,Car,Tram,1.0
65,North,16 – 24,Male,5.0,5.0,5.0,Walk,Bus,None,Bus,Walk,Taxi/Private hire car,1.0
66,West,25 – 34,Female,4.0,4.0,4.0,Bus,Tram,Walk,Bus,Car,Taxi/Private hire car,2.0
67,East,25 – 34,Female,4.0,5.0,5.0,Walk,Bus,None,Bus,Walk,None,0.0
69,East,16 – 24,Female,3.0,3.0,4.0,Car,Bus,Walk,Walk,Bus,None,1.0
70,Central,35 – 44,Male,3.0,5.0,5.0,Walk,Car,None,Walk,Car,Taxi/Private hire car,0.0
71,Central,25 – 34,Male,3.0,5.0,3.0,Bus,Walk,None,Bus,Walk,None,0.0
72,Central,25 – 34,Male,3.0,4.0,3.0,Walk,Bus,None,Walk,Bus,None,0.0
73,North,55 – 64,Male,4.0,4.0,3.0,Bus,Walk,None,Bus,Walk,None,0.0
74,North,35 – 44,Male,3.0,1.0,3.0,Walk,Bus,None,Bus,Walk,None,0.0
75,Central,55 – 64,Male,3.0,3.0,3.0,Bus,Walk,Taxi/Private hire car,Bus,Walk,Taxi/Private hire car,0.0
76,Central,55 – 64,Male,4.0,1.0,1.0,Car,Walk,None,Car,Walk,None,1.0
77,North,45 – 54,Female,4.0,3.0,1.0,Car,Bus,None,Car,Bus,None,1.0
78,West,55 – 64,Female,5.0,4.0,3.0,Car,None,,Car,None,,2.0
79,South,35 – 44,Female,3.0,3.0,3.0,Bus,Walk,Taxi/Private hire car,Bus,Taxi/Private hire car,Walk,0.0
80,South,55 – 64,Female,5.0,5.0,5.0,Bus,Walk,None,Bus,Walk,None,1.0
81,South,35 – 44,Female,4.0,5.0,3.0,Walk,Bus,Car,Bus,Walk,Car,1.0
